name,old_price,new_price,image
Pull - Homme - Sport chic - couleur Jaune - Tissus vinisia,38.00 TND,25.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/63/7905/1.jpg?3666
Maze Pull Homme - Gris Et Rose fuchsia,38.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/85/5813/1.jpg?4207
Maze Pull Homme - Gris Et Rose Bebe,38.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/3245/1.jpg?2026
Maze Pull Homme - Gris Et Rose Bebe,38.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/73/9525/1.jpg?9032
Maze Pull Homme - Gris Et Rose fuchsia,50.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/3245/1.jpg?2026
Etre exclusif Gilet - Homme - 8710 H22 -  Taupe,82.00 TND,54.00 TND,https://tn.jumia.is/cms/000_Ramadan22/00_Live/JE/TN-Ram22_Jexpress_Stickybanner.gif
Etre exclusif Gilet - Homme - Bordeaux - Col V -  8707 H20,82.00 TND,44.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/1905/1.jpg?3136
Gs Gilet Homme Noir avec Manches Semi Cuir,68.00 TND,39.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/5253/1.jpg?9744
Etre exclusif Body - Homme - Col  Roulé - 9382 H22 - Gris,72.00 TND,44.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/8345/1.jpg?0050
barsha PULL OVER Homme - Bleu marine,78.00 TND,49.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/83/7905/1.jpg?3666
Etre exclusif POLO - Homme - 9495 H20 - Beige 100% coton,60.00 TND,49.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/34/0194/1.jpg?3027
Etre exclusif Pull Homme - 9449 H19 - Rouge - Unie,64.99 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/3774/1.jpg?4770
WHITELEAD Pull - Noir -  Bts - Logo,89.99 TND,27.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/3125/1.jpg?8508
Exist Pull - P00416 - BMULTICLR,76.00 TND,45.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/5203/1.jpg?8268
Exist Gilet - G00003 - QBLEU/NUI,89.90 TND,73.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/0205/1.jpg?8015
Etre exclusif Body - Homme - 9412 SH - Noir - Col V,68.00 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/67/0205/1.jpg?8013
Omiz pull col montanT,78.00 TND,44.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/22/4025/1.jpg?0648
Etre exclusif Pull - Homme - 9304 H18 - vert militaire,82.00 TND,34.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/6715/1.jpg?2329
Etre exclusif Pull - Homme - 9307 H19 -  Noir - imprimer,69.00 TND,34.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/3125/1.jpg?8509
Etre exclusif Gilet - Homme - 8710 H22 -  vert,38.00 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/9184/1.jpg?6927
Etre exclusif Body - Homme - 9374 H22  - Moutarde  - Rayée,49.90 TND,49.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/01/1905/1.jpg?8568
Maze Pull Homme - Gris Et Rose fuchsia,78.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/9094/1.jpg?7867
Talla Mode Gilet coton - Gris,79.90 TND,35.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/2625/1.jpg?3009
Etre exclusif Pull - Homme - 9369 H22 -  Taupe 100% acrylique,84.90 TND,54.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/70/9535/1.jpg?5689
Omiz Pull col montant torsade,79.00 TND,39.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/0084/1.jpg?5029
Omiz Pull à coudière - Rouge bordeaux,84.90 TND,44.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/84/4874/1.jpg?2166
Etre exclusif Pull - Homme - 9450 H19 - Noir 100% coton,72.00 TND,49.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/7405/1.jpg?9887
Omiz Pull à coudière - Noir,69.90 TND,44.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/3774/1.jpg?4771
Etre exclusif Polo - Homme - 9492 H20  -  ROUGE,69.00 TND,49.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/7405/1.jpg?9887
Omiz Pull basique - Noir,44.99 TND,34.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/07/3774/1.jpg?4773
Gilet - homme - colrond - Marron,149.99 TND,55.20 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/60/9923/1.jpg?7724
Exist Pull over - P00391 - JAUNE,50.00 TND,40.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/0674/1.jpg?4081
Exist Teddy - 241423 - Noir,68.00 TND,94.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/88/0205/1.jpg?8015
Zoom Fa Sweat Shirts - BTS - Noir,44.99 TND,35.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/4084/1.jpg?8062
Etre exclusif Pull - Homme - 9304 H18 - BLANC,74.00 TND,34.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/0563/1.jpg?8367
Exist Pull over - P00391 - GR/ANTHR,79.99 TND,40.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/3125/1.jpg?8509
Etre exclusif Polo - Homme - 9337 H21 - Gris 100%Coton,72.00 TND,59.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/11/1205/1.jpg?8066
Exist Gilet - G00037 - FNOIR,38.00 TND,50.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/3774/1.jpg?4772
Etre exclusif Polo - Homme - 9492 H20  - Gris,69.99 TND,49.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/5094/1.jpg?8011
Maze Pull Homme - Gris Et Rose Bebe,149.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/3774/1.jpg?4773
Exist Gilet - G00043 - GR/ANTHR,78.00 TND,44.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/86/3245/1.jpg?2026
"Gilet ""REDDOOR"" - Jean - Bleu",89.90 TND,69.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/54/5094/1.jpg?8003
barsha Pull over-Pour homme,38.00 TND,45.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/5232/1.jpg?8319
Etre exclusif Pull - Homme -  9376 H22 - Col roulé -VERT,38.00 TND,69.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/29/5094/1.jpg?8428
Omiz Pull avec texture,38.00 TND,44.90 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/1905/1.jpg?3135
Maze Pull Homme - Gris Et Rose fuchsia,38.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/18/6715/1.jpg?2329
Maze Pull Homme - Noir Et Rouge,38.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/91/2625/1.jpg?3009
Maze Pull Homme -  Noir et Jaune,38.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/3245/1.jpg?2026
Maze Pull Homme -  Gris Et Bleu,38.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/6925/1.jpg?9990
Maze Pull Homme - Noir Et Blue,50.00 TND,19.00 TND,https://tn.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/78/6925/1.jpg?9990
